novel_label,novel_rationale,first_seen,best_topic_id,best_topic_name,similarity,action,notes,llm_label
Request for faster orders,"The review expresses a desire for faster order processing, which is not explicitly covered in the catalog.",2025-10-21T08:40:41.000000+0530,FAST_DELIVERY,Fast Delivery,0.4801953434944153,new,"The review mentions device lagging and crashing, which is not covered in the existing topics.",App Crashing Issues
Generic positive sentiment,The review expresses a positive sentiment but does not relate to specific topics in the catalog.,2025-10-02T13:20:48.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.47930392622947693,merge,"Both topics relate to problems with delivery, including connection issues and delays.",Delivery Issues
pH quality concern,"The review mentions 'good pH', indicating a concern about food quality related to acidity or freshness, which is not covered in the existing topics.",2025-10-10T16:15:20.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.4785560369491577,merge,Both topics address the issue of food not being delivered.,Food not received
Greeting without context,The review is a simple greeting and does not relate to any specific service issue.,2025-10-11T06:50:10.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.47838878631591797,merge,"Topics A and B are unrelated; Topic A focuses on political figures and sentiments, while Topic B addresses quality issues.",Political Commentary
Free Delivery Not Provided,"The review mentions that delivery is not free, which is not explicitly covered in the catalog.",2025-09-30T18:13:04.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.4781979024410248,merge,"Topics A and B both relate to overall customer experience, with A indicating dissatisfaction and B indicating satisfaction.",Experience
Item Pricing Transparency,"The review suggests a need for clear pricing information, including taxes, which is not covered in the existing topics.",2025-10-17T02:28:44.000000+0530,OVERPRICED_ITEMS,Overpriced Items,0.4781135618686676,new,Unique experience not covered in existing topics.,First Delivery Experience
Ambiguous review sentiment,The review is vague and does not clearly express a specific issue or sentiment related to the service.,2025-10-01T20:58:32.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.47763341665267944,merge,Consolidated topics related to sentiment without specifics and positive experiences into a broader category for better organization.,Sentiment Analysis
App promotes unhealthy eating,"The review mentions the app's tendency to tempt users into choosing unhealthy food options, which is not covered in the existing topics.",2025-10-09T04:47:19.000000+0530,GREAT_APP,Great App,0.47755759954452515,merge,Both topics relate to problems with order fulfillment and clarity.,Order status and completeness issues
False Cancellation Fee,Review mentions a cancellation fee issue not covered in existing topics.,2025-10-17T09:58:53.000000+0530,NO_CANCEL_OPTION,No Cancel Option,0.4765840768814087,new,"The review highlights an issue with the visibility of ordered items, which is not addressed in existing topics.",Visibility of ordered items
Emotional Response,The review expresses a positive emotional sentiment without specific feedback.,2025-09-28T16:59:30.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4760863184928894,merge,Consolidated due to relevance in discussing customer experiences with service tiers.,Service Tier Issues
Positive sentiment without detail,The review expresses a positive sentiment but lacks specific details to categorize it under existing topics.,2025-10-20T07:43:06.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4750366508960724,new,"This topic discusses price and product differences between iPhone and Android, which is not covered in the existing topics.",Price and product comparison
Vague positive sentiment,The review expresses a positive sentiment but lacks specific details related to the topics in the catalog.,2025-10-20T09:37:49.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.47461825609207153,merge,"Both topics refer to issues related to incomplete orders, with Topic A providing a specific example.",Order Incomplete
Excessive Ads in Service,"The review mentions too many ads in a paid service, which is not covered in the existing topics.",2025-10-24T06:16:34.000000+0530,HIGH_FEES,High Fees,0.47446209192276,merge,"Consolidating Topic A and Topic B as the app's performance directly impacts user experience, including delivery issues.",App issues affecting delivery
App Bugs,Review mentions bugs in the app.,2025-10-22T15:06:05.000000+0530,GREAT_APP,Great App,0.4743109941482544,merge,"Both topics reflect positive sentiments from customers, with one specifically mentioning a discount.",Positive Feedback on Discount and Experience
Order Acceptance Issue,The review expresses frustration about accepting orders without the ability to fulfill them.,2025-10-03T20:08:51.000000+0530,ORDER_INCOMPLETE,Order Incomplete,0.47345030307769775,merge,"Unprofessional behavior contributes to poor business ethics, as it reflects a lack of care and exploitation of customers.",Poor business ethics
Positive sentiment without issue,The review expresses positive feelings but does not relate to any specific issue in the catalog.,2025-10-12T07:39:32.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.47344881296157837,merge,Consolidated topics related to concerns about food taste and overall quality.,Food Quality Issues
Tasty Food Experience,"The review expresses a positive sentiment about the taste of the cake, which is not specifically covered in the catalog.",2025-09-30T17:08:48.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.47337639331817627,merge,"Both topics discuss aspects of restaurant offerings, with Topic A focusing on policy and Topic B on options.",Restaurant policy on offers
Underrated restaurants issue,"Review mentions being cheated by listed restaurants, indicating a potential issue with restaurant quality or reliability not covered in the catalog.",2025-10-25T15:29:46.000000+0530,UNPROFESSIONAL,Unprofessional Behavior,0.4730287194252014,merge,Consolidating unclear service quality feedback with positive experiences to create a comprehensive category for service-related reviews.,Service Quality Feedback
Delivery Boy Unavailable,"The review mentions that the delivery boy is unable to come, which is not covered in the existing topics.",2025-10-10T21:17:40.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.47228068113327026,merge,"Both topics express satisfaction with the order process, making them duplicates.",Order Confirmation Praise
Delivery partner scams,"The review mentions scams by delivery partners, which is not covered in the existing topics.",2025-10-21T15:02:31.000000+0530,FAST_DELIVERY,Fast Delivery,0.4722108840942383,merge,"Both topics relate to food quality and interest, with Topic B being a specific aspect of the general interest expressed in Topic A.",General food interest
Cashback dissatisfaction,"The review expresses dissatisfaction with cashback or rewards, which is not covered in the existing topics.",2025-10-14T15:23:20.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.47179311513900757,merge,Both topics relate to issues with restaurant options and request statuses.,Lack of Cooking Request Status
Low-priced offerings,"The review highlights the perception of low prices, which is not explicitly covered in the catalog.",2025-10-18T06:43:14.000000+0530,POOR_QUALITY,Poor Quality,0.4713524580001831,merge,"Both topics address issues related to pricing, with Topic A focusing on discrepancies across devices and Topic B on general overpricing.",Price Discrepancy on Devices
Dineout section issue,"The review mentions a specific issue with the dineout section not displaying liked restaurants, which is not covered in the existing topics.",2025-10-17T20:02:42.000000+0530,LIMITED_OPTIONS,Limited Options,0.4709019660949707,merge,"Both topics relate to customer perceptions and experiences with a service, focusing on profit versus satisfaction.",Customer Experience
Unclear complaint,The review does not specify a clear issue related to the service or product.,2025-10-03T14:01:27.000000+0530,NO_RESPONSE_COMPLAINT,No Response to Complaint,0.4707711338996887,merge,Both topics relate to user account management issues.,Account Deletion Issue
Unreliable Service,The review indicates a general lack of reliability which is not specifically covered in existing topics.,2025-10-17T20:38:52.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.47057607769966125,merge,"Both topics relate to problems users face when their location cannot be verified, affecting their ability to place orders.",Location Verification Issues
Delivery Promise Discrepancy,"The review highlights a disparity in delivery promises compared to other apps, which is not specifically addressed in the existing topics.",2025-10-14T12:41:53.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.4705577492713928,new,"This topic addresses the specific issue of cancellation fees and the lack of a cancel option, which are not covered in existing topics.",Cancellation Fee Issue
App Deletion Experience,User deleted the app due to dissatisfaction.,2025-10-25T14:27:35.000000+0530,GREAT_APP,Great App,0.47017794847488403,merge,"Topics A and B both express positive sentiments regarding experiences or compliments, making them redundant.",Positive Feedback
Order status unclear,The review mentions confusion about the order status without specifying a known issue.,2025-10-23T16:17:07.000000+0530,ORDER_INCOMPLETE,Order Incomplete,0.46977442502975464,new,"The review indicates an order rejection, which is not covered in the existing topics.",Order Rejection Issue
Visibility of ordered items,"The review mentions that ordered items are not visible, which is not covered in the existing topics.",2025-10-16T13:08:42.000000+0530,ORDER_INCOMPLETE,Order Incomplete,0.46932798624038696,merge,"The review mentions a positive aspect of pricing, which aligns with the Positive Experience category.",Best Price Feedback
Service Tier Issues,Review discusses dissatisfaction with service tiers and delays.,2025-10-11T16:01:32.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.46922567486763,merge,"Both topics relate to pricing concerns, with Topic A focusing on inquiries and Topic B addressing perceptions of pricing.",Pricing Inquiry
Price and product comparison,"The review discusses price and product differences between iPhone and Android, which is not covered in the existing topics.",2025-10-10T15:23:11.000000+0530,GREAT_APP,Great App,0.46892085671424866,merge,"Both topics relate to dissatisfaction with food quality, with Topic A specifically addressing temperature.",Cold food complaint
Incomplete Order Description,The review mentions '1st order my' which suggests an incomplete order experience but lacks specific details.,2025-10-10T12:25:27.000000+0530,ORDER_INCOMPLETE,Order Incomplete,0.4685603976249695,merge,Consolidated topics related to customer support satisfaction.,Customer Support Experience
App issues affecting delivery,"The review mentions the app spoiling food delivery, indicating a problem with the app that is not specifically covered in the existing topics.",2025-10-25T14:54:44.000000+0530,GREAT_APP,Great App,0.4682803750038147,merge,"Consolidating topics related to order fulfillment problems, including incomplete orders and orders not carried out.",Order Issues
Positive feedback on discount,"The review mentions an awesome discount, which is not specifically covered in the catalog.",2025-09-28T15:38:14.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.46793243288993835,merge,"Payment Failure is a specific instance of a payment method issue, while Payment Method Mentioned is a broader category that includes mentions without issues.",Payment Method Mentioned
Poor business ethics,The review expresses frustration about perceived exploitation and lack of customer care.,2025-10-16T18:28:46.000000+0530,UNPROFESSIONAL,Unprofessional Behavior,0.46782568097114563,merge,Topics A and B represent opposite ends of the customer satisfaction spectrum and can be consolidated under a broader category.,Customer Satisfaction
Food taste issue,"The review mentions 'very testy', indicating a concern about the taste of the food, which is not specifically covered in the catalog.",2025-10-19T12:55:49.000000+0530,POOR_QUALITY,Poor Quality,0.46782374382019043,merge,"Both topics relate to problems with delivery, one focusing on rating and the other on the absence of delivery.",Delivery Issues
Restaurant policy on offers,"The review mentions that offers depend on restaurant policy, which is not covered in the catalog.",2025-10-10T17:38:39.000000+0530,LIMITED_OPTIONS,Limited Options,0.4673358201980591,new,"The review suggests adding a filter for no onion and no garlic dishes, which is not covered in the existing topics.",Request for menu filter
App delivery time issue,"The review mentions a problem with the app's delivery time display, which is not specifically covered in the existing topics.",2025-10-12T15:33:39.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.4666103720664978,new,"This topic addresses the specific need for finding preferred food options in proximity, which is not covered by existing topics.",Preferred food nearby
Low Prices,"The review mentions low prices, which is not covered in the existing topics.",2025-10-24T16:48:44.000000+0530,POOR_QUALITY,Poor Quality,0.46641942858695984,new,The review discusses a usability issue with the app update that is not covered in the existing topics.,App Update Usability Issue
Negative sentiment towards company,The review expresses dissatisfaction with the company without specifying an issue.,2025-10-16T21:32:55.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.46523311734199524,merge,Consolidating concerns about the timing of food delivery into a single topic for clarity.,Timely Delivery
Limited Offers for Customers,"The review mentions that offers are not good for general customers, which is not covered in the existing topics.",2025-10-09T18:08:23.000000+0530,LIMITED_OPTIONS,Limited Options,0.4647963047027588,merge,"Both topics relate to delivery issues, with Topic A focusing on incorrect distance measurement and Topic B indicating problems with locating addresses.",Distance Measurement Issue
Customer Support Issue,"The review mentions lack of customer support, which is not explicitly covered in the catalog.",2025-10-10T14:25:11.000000+0530,NO_RESPONSE_COMPLAINT,No Response to Complaint,0.46469271183013916,new,"This topic addresses specific issues related to app stability, which is not covered in existing topics.",App Crashes and Bugs
Vague Feedback,The review does not specify any issue or experience.,2025-09-28T06:22:17.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.46456342935562134,merge,Consolidated general order issues into a single topic for clarity.,Order Issue
Free cash not applied,"The review mentions issues with free cash disappearing, which is not covered in the existing topics.",2025-10-25T12:12:23.000000+0530,COD_NOT_AVAILABLE,COD Not Available,0.4644624888896942,new,"The review mentions an account being hacked, which is not covered in the existing topics.",Account Security Issue
Sudden Plan Convenience,Review highlights the service's usefulness for spontaneous orders.,2025-10-01T09:35:26.000000+0530,FAST_DELIVERY,Fast Delivery,0.4637067914009094,merge,"Both topics relate to concerns about the delivery process, with Topic A focusing on quality and Topic B on timeliness.",Delivery Issues
First-time user experience,"The review indicates this is the user's first experience with the service, which is not covered in the existing topics.",2025-10-08T17:59:03.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.46361738443374634,merge,"Both topics relate to issues with order fulfillment, but Topic A specifically addresses inquiries about cancellations, while Topic B addresses incomplete orders.",Order Cancellation Inquiry
Discount Feedback,"Review mentions happiness with discount, not covered in catalog.",2025-09-30T12:39:25.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4633450210094452,merge,Consolidated topics related to service quality into a single category.,Service Experience
Order Rejection Issue,"The review indicates an order rejection, which is not covered in the existing topics.",2025-10-02T10:21:44.000000+0530,ORDER_INCOMPLETE,Order Incomplete,0.4629635512828827,new,"The review suggests a new feature for scheduled delivery, which is not covered in the existing topics.",Schedule Delivery Request
Best Price Feedback,The review mentions a positive aspect of pricing but does not fit existing categories.,2025-10-06T13:59:58.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.46282216906547546,review,LLM response missing,
Pricing Inquiry,"The review asks for pricing details of a specific item, which is not covered in the catalog.",2025-09-29T11:01:36.000000+0530,OVERPRICED_ITEMS,Overpriced Items,0.4624924957752228,new,"This topic addresses the inability to see the full bill and unexpected amount increase, which is not covered in existing topics.",Payment Transparency Issue
Cold food complaint,"Review mentions food was cold, which is not explicitly covered in the catalog.",2025-10-12T21:26:32.000000+0530,POOR_QUALITY,Poor Quality,0.46204525232315063,merge,Consolidated topics related to packaging cleanliness and leaks into a single category for clarity.,Packaging Issues
Poor Customer Support,"The review indicates dissatisfaction with help, suggesting inadequate customer support.",2025-10-07T11:42:27.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.46193474531173706,new,"The review suggests a new free delivery policy for distances up to 10kms, which is not covered in the existing topics.",Request for free delivery policy
Order not carried,"The review indicates an issue with the order not being carried out, which is not explicitly covered in the existing topics.",2025-10-21T12:57:50.000000+0530,ORDER_INCOMPLETE,Order Incomplete,0.4618875980377197,merge,Consolidated due to overlapping themes regarding order status concerns.,Order Status Inquiry
Payment Method Mentioned,"The review mentions Google Pay, which is a payment method but does not indicate any issues or experiences related to it.",2025-10-24T08:23:00.000000+0530,PAYMENT_FAILURE,Payment Failure,0.4617308974266052,new,"The review discusses the removal of the 'Eatlist' feature, which is not covered in the existing topics.",Missing App Feature
Severe dissatisfaction,The review expresses extreme dissatisfaction without specifying a clear issue.,2025-10-23T05:15:43.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.46147865056991577,merge,Consolidating topics related to pricing to cover both attractive pricing and overpriced items.,Pricing Strategies
Delivery Rating Issue,The review mentions rating delivery but lacks context.,2025-09-30T15:12:44.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.4613434672355652,merge,Both topics address issues related to restaurant options and availability on different platforms.,Restaurant availability issue
Request for menu filter,"The review suggests adding a filter for no onion and no garlic dishes, which is not covered in the existing topics.",2025-10-16T15:05:55.000000+0530,LIMITED_OPTIONS,Limited Options,0.4611051082611084,merge,"Both topics express positive sentiments about food, with Topic A focusing on combos and Topic B on overall food quality.",Positive Feedback on Food Quality
High Price Concern,The review suggests a concern about high prices without specific details.,2025-09-30T19:49:52.000000+0530,OVERPRICED_ITEMS,Overpriced Items,0.4609323740005493,merge,Both topics address concerns about high prices and can be consolidated under a single label.,High Price Concern
Customer Deception,The review suggests customers are being misled.,2025-09-28T16:17:54.000000+0530,UNPROFESSIONAL,Unprofessional Behavior,0.46090543270111084,merge,"Both topics relate to negative customer experiences, but Topic A specifically addresses misleading practices, while Topic B could encompass a broader range of unprofessional conduct.",Customer Deception
App Glitches,"The review mentions 'lots of glitches' in the app, which is not specifically covered in the existing topics.",2025-10-25T18:56:33.000000+0530,GREAT_APP,Great App,0.45932137966156006,merge,Consolidating Topic A into Topic B as it reflects user experience related to app performance.,App Glitches
Rude interaction,"The review expresses frustration with a rude comment, which is not covered in the existing topics.",2025-10-05T03:00:33.000000+0530,RUDE_DELIVERY_PERSON,Rude Delivery Person,0.45924708247184753,merge,Consolidating 'Rude Delivery Person' under 'Rude Interaction' as it encompasses the broader theme of rudeness in interactions.,Rude Interaction
Delivery Partner Identity,"The review mentions the user is a delivery partner, which is not covered in the catalog.",2025-10-04T09:12:35.000000+0530,CANT_FIND_ADDRESS,Can't Find Address,0.4588037133216858,merge,"Both topics relate to issues faced by delivery partners, with Topic A specifically addressing the identity of the delivery partner and Topic B indicating a problem they may encounter.",Delivery Partner Identity
Delivery person asking for extra money,"The review mentions a delivery person asking for extra money, which is not covered in the existing topics.",2025-10-02T09:17:10.000000+0530,RUDE_DELIVERY_PERSON,Rude Delivery Person,0.4585588872432709,new,This topic addresses a specific issue not covered by existing topics.,Delivery person asking for extra money
Cancellation Protocol Issue,"The review criticizes the cancellation protocol, which is not specifically covered in the catalog.",2025-10-16T15:34:17.000000+0530,NO_CANCEL_OPTION,No Cancel Option,0.4581451416015625,merge,Both topics address issues related to cancellation options and protocols.,Cancellation Protocol Issues
Rude Customer Interaction,"The review expresses frustration with repeated calls from Swiggy, indicating a negative interaction not covered in existing topics.",2025-09-29T06:46:15.000000+0530,RUDE_DELIVERY_PERSON,Rude Delivery Person,0.45632070302963257,merge,"Consolidating topics related to negative interactions with service personnel, including both customer service and delivery personnel.",Rude Customer Interaction
Poor Packaging Quality,"The review mentions bad packaging, which is not explicitly covered in the catalog.",2025-10-10T07:08:03.000000+0530,WRONG_ITEM,Wrong Item,0.45614373683929443,merge,Both topics relate to issues with product delivery and customer satisfaction.,Poor Packaging Quality
Request for extra food,"The review expresses a desire for more food, which is not covered in the existing topics.",2025-10-11T22:01:07.000000+0530,POOR_QUALITY,Poor Quality,0.4555633068084717,new,"This topic addresses a specific request for additional food, which is not covered by existing topics.",Request for extra food
Unclear Customer Scheme Feedback,The review mentions a customer scheme but lacks clarity on specifics.,2025-10-04T07:28:36.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4555150270462036,merge,"Topics A and B both relate to customer experiences, with Topic A focusing on unclear feedback regarding a customer scheme and Topic B highlighting a positive experience.",Customer Feedback
Delivery Partner Unavailability,"The review highlights the issue of no delivery partner being assigned, which is not covered in the existing topics.",2025-10-20T07:24:07.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.4552950859069824,new,"This topic addresses the specific issue of no delivery partner being assigned, which is distinct from the general issue of no delivery.",Delivery Partner Unavailability
Service Improvement Needed,The review suggests a need for improvement in service delivery based on customer demands.,2025-10-22T14:18:18.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4552055895328522,merge,"Both topics relate to customer experiences, with Topic A focusing on areas for improvement and Topic B highlighting positive experiences.",Service Improvement Needed
Uninstalling due to experience,"The review indicates a decision to uninstall the app due to a negative delivery experience, which is not specifically covered in the existing topics.",2025-10-02T14:44:15.000000+0530,GREAT_APP,Great App,0.4544622004032135,new,This topic addresses a specific reason for uninstalling the app that is not covered by existing topics.,Uninstalling due to experience
Critical Situation Usefulness,"The review highlights the usefulness of the service in critical situations, which is not covered in the existing topics.",2025-10-15T13:43:45.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.45328062772750854,new,"This topic highlights the usefulness of the service in critical situations, which is not covered in the existing topics.",Critical Situation Usefulness
Positive sentiment,The review expresses a positive sentiment but does not relate to any specific topic in the catalog.,2025-10-01T19:57:30.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4531959295272827,merge,"Both topics relate to positive feelings or experiences, thus they can be consolidated.",Positive Sentiment and Experience
Generic Positive Sentiment,The review expresses love but does not relate to specific topics in the catalog.,2025-09-29T09:57:44.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.45311397314071655,merge,"Both topics express positive feelings, but Topic A is more general while Topic B relates to specific experiences.",Generic Positive Sentiment
Vague food description,"The review mentions 'west food' without context, indicating a potential issue with menu clarity.",2025-09-28T11:44:12.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.4528043866157532,merge,"Both topics relate to food descriptions and quality, with Topic A highlighting a lack of clarity that could affect the perception of food quality.",Food Quality and Clarity
Cashback Redemption Issue,"The review mentions a problem with redeeming cashback, which is not covered in the existing topics.",2025-10-16T10:27:59.000000+0530,COD_NOT_AVAILABLE,COD Not Available,0.45231932401657104,new,This topic addresses a specific problem with redeeming cashback that is not covered in existing topics.,Cashback Redemption Issue
Map Accuracy Issue,Review mentions incorrect delivery agent position on maps.,2025-10-02T13:56:28.000000+0530,CANT_FIND_ADDRESS,Can't Find Address,0.45202451944351196,merge,Both topics relate to problems with map accuracy affecting delivery.,Map Accuracy Issues
Schedule Delivery Request,"The review suggests a new feature for scheduled delivery, which is not covered in the existing topics.",2025-10-16T07:43:52.000000+0530,FAST_DELIVERY,Fast Delivery,0.4514883756637573,merge,"Both topics represent contrasting sentiments in reviews, thus they can be categorized under a broader sentiment analysis framework.",General Discontent and Positive Experience
Order Placement Issue,"The review indicates an inability to place an order, which is not covered in existing topics.",2025-10-02T12:28:18.000000+0530,ORDER_INCOMPLETE,Order Incomplete,0.4505175054073334,merge,Both topics address dissatisfaction with customer support and unresolved complaints.,Customer Support Issues
Payment Transparency Issue,"The review mentions inability to see the full bill and unexpected amount increase, which is not covered in existing topics.",2025-10-12T13:47:23.000000+0530,MONEY_ALREADY_EATEN,Money Already Eaten,0.45034265518188477,merge,"Both topics are unrelated to food delivery issues, but Topic A expresses a personal sentiment that could be considered unprofessional in a review context.",Romantic sentiment
Packaging cleanliness issue,"The review mentions the need for clean packaging, which is not explicitly covered in the catalog.",2025-10-12T13:25:56.000000+0530,PACKAGING_LEAK,Packaging Leak,0.450183629989624,merge,"The review content is ambiguous and does not provide specific feedback, which can be considered a positive experience if no issues are mentioned.",Ambiguous review content
Request for free delivery policy,"The review suggests a new free delivery policy for distances up to 10kms, which is not covered in the existing topics.",2025-09-28T14:52:26.000000+0530,HIGH_FEES,High Fees,0.4500219523906708,new,"The review highlights issues with misleading restaurant locations, which is not explicitly covered in the catalog.",Misleading restaurant locations
Order Status Inquiry,The review suggests a concern about the order status without specifying a clear issue.,2025-10-09T11:19:19.000000+0530,ORDER_INCOMPLETE,Order Incomplete,0.4500102698802948,merge,"Topics A and B represent different aspects of sentiment analysis, but they are distinct enough to warrant separate categorization.",Sentiment Analysis
Missing App Feature,"The review discusses the removal of the 'Eatlist' feature, which is not covered in the existing topics.",2025-10-13T15:57:56.000000+0530,GREAT_APP,Great App,0.4499949812889099,merge,"Both topics relate to positive aspects of a service, with Topic A specifically highlighting time-saving benefits.",Time-saving service
Attractive Pricing,"The review mentions an attractive price, which is not covered in the existing topics.",2025-10-17T16:03:52.000000+0530,OVERPRICED_ITEMS,Overpriced Items,0.44985443353652954,merge,Both topics relate to issues with cash availability.,Free cash usage issue
Restaurant availability issue,"The review mentions a restaurant being closed on Swiggy while available on Zomato, which is not covered in the catalog.",2025-10-07T19:41:29.000000+0530,LIMITED_OPTIONS,Limited Options,0.44922325015068054,merge,"Both topics relate to food quality, with Topic A mentioning 'herbal' as a type of food without service issues.",Good Quality Food
Positive Feedback on Combos,"The review expresses a positive sentiment about food combos, which is not specifically covered in the catalog.",2025-10-10T10:57:47.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.4489796757698059,merge,"Topics A and B represent different aspects of customer feedback, with Topic A focusing on dissatisfaction and Topic B on satisfaction. They can be consolidated under a broader category of customer experience feedback.",Quality and Experience Feedback
General Discontent,The review expresses a vague negative sentiment without a specific issue.,2025-10-17T17:51:15.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4487309455871582,merge,Consolidating positive feedback on schemes and experiences into a single category for clarity.,Positive Feedback on Experience
Unresolved issue with support,"The review mentions an unresolved issue and dissatisfaction with customer support, which is not specifically covered in the catalog.",2025-10-10T17:48:17.000000+0530,NO_RESPONSE_COMPLAINT,No Response to Complaint,0.44793012738227844,merge,Consolidating Topic A and Topic B under a broader category that encompasses both positive and negative aspects of app performance.,App Performance Issues
Romantic sentiment,The review expresses a personal sentiment unrelated to food delivery issues.,2025-10-05T14:17:44.000000+0530,UNPROFESSIONAL,Unprofessional Behavior,0.4477689862251282,merge,Both topics relate to problems with food temperature and freshness.,Food Quality Issues
Ambiguous review content,The review 'medium' does not specify any issue or feedback related to the service.,2025-10-03T13:21:55.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4468216300010681,merge,Both topics relate to issues affecting service availability and product availability.,Service Unavailability Issue
Misleading restaurant locations,"The review highlights issues with misleading restaurant locations, which is not explicitly covered in the catalog.",2025-10-04T06:12:57.000000+0530,LIMITED_OPTIONS,Limited Options,0.4467979669570923,merge,"Both topics express a desire for quicker service, making them duplicates.",Fast Service
Negative sentiment without context,The review expresses strong negative feelings but does not specify an issue.,2025-10-03T06:20:22.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.44623321294784546,merge,"Both topics relate to health risks associated with food, with Topic A focusing on hospitalization and Topic B potentially contributing to those risks through packaging issues.",Health Risk from Food
Time-saving service,"The review suggests a positive aspect of the service related to saving time, which is not explicitly covered in the catalog.",2025-10-08T08:11:08.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4453998804092407,merge,"Generic greetings often accompany positive experiences, indicating a friendly tone.",Positive Experience
Free cash usage issue,The review mentions an issue with using free cash that is not addressed in the catalog.,2025-10-22T06:54:11.000000+0530,COD_NOT_AVAILABLE,COD Not Available,0.44507691264152527,new,"The review mentions the app crashing, which is not covered in the existing topics.",App Crashing Issue
Herbal food mention,The review mentions 'herbal' but does not specify any issue related to the service or food quality.,2025-10-22T06:51:32.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.4447094798088074,merge,"Topics A and B represent different aspects of customer experience, with A focusing on unmet expectations and B on positive experiences.",Customer Experience
Quality below expectations,"The review indicates dissatisfaction without specifying a particular issue, suggesting poor quality.",2025-10-08T13:03:34.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4446776807308197,new,"The topic highlights a specific issue regarding the absence of a feedback option for delivery partners, which is not addressed in existing topics.",No review option for delivery partner
Irresponsible Service,The review indicates a general dissatisfaction with service without specifying a catalog issue.,2025-10-20T16:01:04.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.44438087940216064,merge,"Both topics relate to customer experiences with service, one being negative and the other positive.",Service Experience
Emotional Expression,The review expresses positive emotions without specific feedback.,2025-10-02T18:01:50.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4441649913787842,merge,"Topic A and Topic B both relate to the expression of positive emotions and experiences, thus they can be consolidated under a single topic.",Emotional Expression
Cash usage limitation,Review mentions inability to use free cash.,2025-10-01T07:30:51.000000+0530,COD_NOT_AVAILABLE,COD Not Available,0.4441075325012207,merge,Both topics relate to limitations in payment methods.,Cash usage limitation and COD Not Available
Operational Challenges,Review highlights severe operational issues with delivery partners.,2025-09-28T05:23:22.000000+0530,FAST_DELIVERY,Fast Delivery,0.44401806592941284,merge,Both topics relate to issues and performance in delivery operations.,Operational Challenges
Location Mentioned,The review only mentions a location without any specific feedback about the service or food.,2025-09-29T16:29:56.000000+0530,LIMITED_OPTIONS,Limited Options,0.44393450021743774,merge,Both topics relate to aspects of a review that do not provide specific feedback about the service or food.,Location Mentioned
Marketing Feedback,"The review mentions marketing, which is not covered in the catalog.",2025-10-14T11:46:59.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.4436984062194824,merge,Positive Experience is a subset of feedback that can be included under Marketing Feedback.,Marketing Feedback
Unauthorized Order Confirmation,"The review mentions an issue with order confirmation without customer permission, which is not covered in the existing topics.",2025-10-19T16:18:11.000000+0530,NO_CANCEL_OPTION,No Cancel Option,0.4436120390892029,new,"This topic addresses issues related to order confirmation without customer permission, which is not covered in existing topics.",Unauthorized Order Confirmation
